1.4941E+18,@POTUS you and nato are the ones violating Russia's security concerns. you are the aggressors in this case.,UC,I
1.4941E+18,"BREAKING: The Biden adminsitration says within the last several days, Russia has increased its troop presence along the Ukrainian border by as many as 7,000 troops. The WH says some of these troops arrived as recently as today.",PY,I
1.4941E+18,#UPDATE: #Russia has been building bridges and field hospitals in border areas with #Ukraine to include the shared border with #Belarus.,PY,I
1.4941E+18,"If Russia launches an invasion of Ukraine, millions of Ukrainians could try to flee to neighboring countries, Eastern European officials and experts say.\nBy @dandeluce + @Abs_NBC \nhttps://t.co/UY735zlzgt",PY,I
1.4941E+18,The Biden administration telling US citizens to leave Ukraine now because ‘they will not be rescuing people the way they did in Afgahanistan bc they dont want to do anything to trigger World War III’ is eerie,PY,I
1.4941E+18,A senior Central African Republic military officer has just informed me that more Russian mercenaries have left CAR this week for Eastern Europe. Dozens had left in January. Their target: Ukraine.,PY,I
1.4941E+18,"NATO chief, US, and open source show no pullback by Russians from Ukraine’s border. If anything it’s opposite. This is why it is so crucial for some in media to not rush to get out headlines that end up misleading people as was the case yesterday",PY,I
1.4941E+18,"Russia has added about 7,000 troops along Ukraine's border, despite claims of pullback, US administration official says https://t.co/WVyWFqsKpI",PY,I
1.4941E+18,"As much as I loathe Putin, he has shown up Biden and Johnson for the manipulative, self-serving scum they are, seeking to exploit a potentially horrific crisis purely for personal gain. And not forgetting the military industry. How much more spending did this nonsense justify?",UC,I
1.4941E+18,"Maria Zakharova, the spokeswoman for Russia's Foreign Ministry, has requested that Western media publish a full schedule for Russia's upcoming invasions this year. \n\n""I’d like to plan my vacation,"" she quipped. https://t.co/rEhuxXvmZM",PN,I
1.4941E+18,“We don’t trust this and we are not going to invade”\n\nUkrainian Ambassador to the UK @VPrystaiko responds to @Dpol_un’s suggestion that Russia won’t do anything unless they are provoked by Ukraine. \n\n#Peston https://t.co/wa4jnozH0y,DN,D
1.4941E+18,"Russia has added about 7,000 troops along Ukraine's border, despite claims of pullback, US administration official says https://t.co/EjkK7FShKI",PY,I
1.4941E+18,@juju0ndaabeat Has been happening for 8 years since Russia invaded Ukraine.,UC,I
1.4941E+18,"Russia has added about 7,000 troops along Ukraine's border, despite claims of pullback, US administration official says https://t.co/EjkK7FShKI",PY,I
1.4941E+18,"Senior admin official: Russia could use false pretext to invade Ukraine ""at any time."" US has seen increase of false claims including alleged mass grave of ppl killed by Ukraine forces; west mercenaries fighting; biological weapons being prepared for use against Russian-speakers.",DY,D
1.4941E+18,"Yep. \n\nI wouldn’t be at all surprised to see an attack begin tonight — or at least in the next couple of days. \n\nI’d still love to be wrong, but I don’t think I am. https://t.co/v1ICFM4G7m",PY,D
1.4941E+18,BREAKING: US says #Russia’s claim of withdrawing some troops from #Ukraine border is False.\n\nUS accuses Moscow instead of increasing number of troops by 7000.,UC,I
1.4941E+18,"New @Maxar satellite images from the past 48 hours continue to show heightened military activity in Belarus, Crimea, and western Russia. Pics below are from Feb. 15 and show a new pontoon bridge over the Prypyat River in Belarus. https://t.co/8GCvBMtG4y",PY,D
1.4941E+18,"“Instead, Ukrainian intelligence believes that Russia has focused its efforts on ‘destabilizing Ukraine's internal situation’ using punitive economic and energy-related tactics, as well as cyberattacks.” https://t.co/6tjDnQBJ0j",UC,I
1.4941E+18,"In Belarus, 4 miles away from the borders with Ukraine, a new road construction and a bridge being built, satellite images show. https://t.co/NWANKW8Kfl",PY,I
1.4941E+18,@Oliver19451 Vladimir use of force is what you did in Crimea under threat &amp; surrounding Ukraine more threats &amp; attempting to steal more land a crime unbecoming of a man in your position. More like a coward sneaking about in KGB communist fashion.,PY,I
1.4941E+18,"BREAKING: The Biden administration announces that Russia has added as many as 7,000 troops to the Ukraine border in recent days and that the claim they are withdrawing is “false” and they continue to “mobilize for war."" RT IF YOU AGREE PUTIN CAN’T BE TRUSTED!",PY,I
1.4941E+18,"As the #US &amp; the #NATO did not give #Putin any firm ultimatums to pull back, or else - the #Russian threatening presence will linger at #Ukraine border https://t.co/EQAAn1u9Na",UC,I
