1496273443754496003,no its the russia is communist right i learned that in nd grade n nand when you try and explain things change people just yell noo russia hammer sickle and hate us,1,day
1496273551048986627,gt implying itll happen nrussia invading ukraine would require something to happen nnothing ever happens neverything stays the same nnothing will ever change nhabbenings are lies ndo not believe the man who cries habbenig n nalthough nif it did happen nthatd be pretty neat,2,day
1496273438381686790,nothing but lies ukraine claims there are no russian troops on their border zelenski wonders why biden admin is lying about the situation,2,day
1496273417372373000,just because anonymous us officials have been telling you that putin will conquer kiev and throw people into camps doesnt mean that you have to treat that prospect as anything but a joke see also saddams wmds russian bounties gaddafis viagra assads chemical attacks,2,day
1496273394383441926,we are being played,2,day
1496273370907828224,there is worry that will invade has denied it n,2,day
1496273362737373186,i didnt realize the us put k troops on the border o ukraine not just in russia but is belarus and crimea as well also didnt realize that the us invaded ukraine including again yesterday,2,day
1496273357117206528,putin invades ukraine but not really via,2,day
1496273331703599106,stop the lies about putin and russia this is the same game that has been carried out in america against trump why hate russia so much and putin and trump in the same breathe the fight in america of the white people vs the black people and a great war broke out in heaven,2,day
1496273597719056386,this is when putins invasion of ukraine began this moment right here when donald trump sold the us out to keep a treasure trove of fsb kompromat from becoming public,0,day
1496273597257719811,the putin we saw yesterday quite clearly wont be deterred by sanctions so this is more about imposing a cost over time which is why its important to focus above all on russian elites who have participated in kleptocracy and aggression,0,day
1496273593390485507,russias invasion reminds me yet again that all trump did yrs ago was encourage amp enable the gops ugly ignorant fearful authoritarian antidemocratic impulse to come out in the open amp dominate i knew it was always there i wish id been stronger in confronting it sooner,0,day
1496273592119701505,the west is currently led by one bumbling dotardbidenone laughing hyenaharrisand a handful of metrosexual adolescents trudeau macron putin must feel very confident going up against this goofball brigade,0,day
1496273591930863623,during meeting with at pentagon foreign minister said president putins speech yesterday was not about the recognition of donetsk and luhansk regions it was about the destruction of the ukrainian state very somber mood here today,0,day
1496273589653450759,i cant wait to pay a gallon for gas its all worth it if it helps ukraine n nsaid no american ever,0,day
1496273588873277444,sounds of shelling can be heard in schastya black smoke can be seen from far away,0,day
1496273588340543493,trump endorsed putins invasion n nrepublicans endorse trump n nso n nrepublicans endorse putins invasion n npass it on,0,day
1496273585849184261,nrussia orders troops into ukraine causing stocks and oil to fall n n getty images n nkey takeawaysn nrussia sends troops into two regions of ukraine that have declared their independence,0,day
