1309643847870406656,"It’s too bad Trump didn’t have decades of sexual-assault claims, drug abuse, racism, mob ties, lawsuits, bankruptcies and tax-evasion so the press could have gone after him. Oh, wait. @realDonaldTrump"
1309643846020526082,I honestly was ready to fight 😂😂. Need to work on my husnuzon and gratitudes. 😩😩 https://t.co/UYReXTCpFS
1309643845521387522,Good to see @Matt_KeanMP is against the Brandy Hill quarry expansion that’s set to destroy critical koala habitat. Too bad his government approved the project 2 weeks after learning that koalas would be extinct in NSW before 2050. #koalas #nswpol #auspol https://t.co/aAIqDcn9n2
1309643844883972097,"Conor McGregor is in ""serious talks"" to fight Manny Pacquiao, per @arielhelwani\n\nThe match would take place in late December or early January, potentially in the Middle East. https://t.co/87RbXW8xaQ"
1309643844695330816,"The United States didn’t survive a civil war, two world wars, a nuclear cold war and the 9/11 attacks only to be brought down by a New York City con man."
1309643844674187265,@sharuna413 (๑•̀o•́๑)۶ FIGHT
1309643844481429505,"On The Road With Al and Ivy: A Homeless Literary Chronicle: Aug. 20, 2020. Why history is relevant, King Phillip's War with the Pilgrims, women as historians, America's first best seller, why humans make lousy Gods, childhood, new illustrations and more!\nhttps://t.co/9RuwmaJY5c https://t.co/BNIi9bxhRk"
1309643843231510529,"The EPA illegally destroyed records, deceived the National Archives and Records Administration (NARA) about that destruction, and falsely blamed the coronavirus pandemic to escape accountability, according to internal documents uncovered by CREW.\nhttps://t.co/upoodwgVGa"
1309643843105624064,"@misshonoredxx Ma’am, please destroy me🙏🏻"
1309643842673467392,"I (17F) threw up on my friend (16F) at a party last night. She’s the most popular girl in school and she promised to destroy my reputation. I’m considering leaving town, but I don’t own a motorbike... What should I do?"
1309643842317058050,Hey @SNFonNBC... Let’s fight https://t.co/wn90Hnb0iO
1309643842015162370,"i once walked into that building to report a rape. i was told yes, i was raped, however because i didn't fight back nor was i incapacitated that it would be rape in the 2nd degree and could no longer press charges. this seems like a fire in the 2nd or perhaps 3rd degree at best. https://t.co/FXWoMVZi54"
1309643841960579072,THIS. Just because you watched the most recent version of Nobodies to Legends doesn't give you right to become an obnoxious sh00ter for BTS where you're picking fights with other Kpop fans unprovoked over events that you yourself were not present for. Cut that sht out. https://t.co/qPyth48ntd
1309643841616707587,Tell me why my parents decided to make their fight a family discussion for dinner ?????
1309643840727506946,"Y'all, it's been a hard week. But we have to keep fighting. As Assata Shakur said, ""It is our duty to fight for our freedom. It is our duty to win. We must love each other and support each other. We have nothing to lose but our chains."""
1309643840504999936,"As students take to the streets in a global climate strike on Friday Sep. 25, we asked young people around the world to explain why they're striking for climate action 🌏✊ #FridaysForFuture #FightClimateInjustice https://t.co/pgAn7Tv9dg"
1309643839301464066,Hey @SNFonNBC... Let’s fight https://t.co/wn90Hnb0iO
1309643838005403649,How many people support universal basic income? \n\nWE ARE THE MAJORITY! \n\nLet’s show our numbers! Retweet if you believe in the fight to give an economic floor to all! #UBI2020
1309643836163940354,【本日（9/26）のキャンペーン情報】\n▼もうすぐ7周年！\nhttps://t.co/W16Tfd1nz2\n#モンスト https://t.co/8ocUoroLQB
1309643835186782214,"If leftists did research, they would find out that:\n\n1️⃣ There are 16M AR-15s – making it America's most popular rifle.\n2️⃣ Murder was 19% higher when these rifles were federally banned.\n3️⃣ “Assault weapon” is a made up term.\n4️⃣ Clips are different from mags. \n\nThese are the FACTS!"
1309643834276696066,Always fight for what is right. #TheFlash https://t.co/fCnKpo4db8
1309643833798426625,Love @TheNotoriousMMA giving the scoop on the information. @ufc @danawhite just want to keep Conor on the shelf until fans are aloud case they want that extra money. McGregor for #ufc255 make it happen  #ufc #danawhite #mma #ConorMcGregor fight #Thanksgiving wknd or #NewYearsEve https://t.co/mAMJNawpW7
1309643832489771008,"@MalcomRiley22 @TommyMissel @black_42 America was built on violence.  There are over 400 million guns in circulation.  The founders of this nation fought a war with the Brits, Indians, themselves (civil war) and countless wars sense then.  It’s as American as apple pie"
1309643831902711809,"Ireland has more Starbucks than Italy, Switzerland, Austria, Sweden, Serbia, Azerbaijan, Denmark, and Finland *combined*. We're losing our character as a country https://t.co/3Gp2xt4Cwn"
1309643831743135745,"Mike Tyson talking boxing with Gervonta Davis on Instagram Live today, asking when he’ll fight Vasyl Lomachenko and giving out some life lessons…\n\n[📽️ @Gervontaa] https://t.co/8SKaAdKLYk"
