1.4854E+18,BREAKING: The U.S. State Department has ordered the evacuation of American citizens in Ukraine… \n\nHere we go,DY
1.4854E+18,"In a press release, the department’s Office of Foreign Assets Control said the action is intended to target, undermine, and expose #Russia’s ongoing destabilization effort in #Ukraine. https://t.co/emSxoANolX",UC
1.4854E+18,"If military assistance to Ukraine in the short term won’t make any difference, why are the Russians so upset about it?",UC
1.4854E+18,"@michaelbd Plus, your fears that Ukraine might become emboldened by US support to do something unwise are likewise unfounded.  What past instance of Ukrainian behavior would make you fear this in the future? 1/2",PN
1.4854E+18,"Dear international media, when covering 🇺🇦, please remember, Ukrainians are not pawns in a geopolitical game. We are real people, 40 mln, with our agency, ideas and aspirations. Majority of us (~60%) want to join the EU&amp;NATO. We are ready to resist Russia\nhttps://t.co/eUn7oJdvO4",UC
1.4854E+18,"BREAKING: U.S. issues travel warning for Ukraine due to ""increased threats of Russian military action,"" says Americans should leave now",DY
1.4854E+18,@catturd2 Biden won't because he would be giving up his more lucrative kickbacks from Putin. Democrats play both sides of the fence. Hedge bets🤷‍♂️,PN
1.4854E+18,U.S. STATE DEPARTMENT SAYS THERE ARE REPORTS RUSSIA IS PLANNING SIGNIFICANT MILITARY ACTION AGAINST UKRAINE - Reuters News,DY
1.4854E+18,We’re about to see Taiwan fall and the Ukraine absorbed into Russia. Biden is the worst president in history and the biggest idiot this country has ever produced.,PY
1.4854E+18,Ukraine is not our country and not our problem. Anyone who would risk a war with Russia for the sake of some random country 6000 miles away is a fool or a psychopath or both. Move to Ukraine and enlist in the army if you care so much. Our sons don't need to die for this bullshit.,UC
1.4854E+18,"Sending more U.S. troops to Eastern Europe would signal a major pivot for the Biden administration, which up until recently was taking a restrained stance on Ukraine, out of fear of provoking Russia into invading.  w/@helenecooper \nhttps://t.co/yKtME4vMlc",UC
1.4854E+18,BREAKING: #US State Department orders diplomats' families to leave US embassy in #Kyiv amid #Russia tensions,DY
1.4854E+18,"""RUSSIAN FORCES MASSED ON BORDERS OF UKRAINE: INVASION EXPECTED AT ANY MOMENT"" U.S. ORDERS NON-ESSENTIAL EMBASSY STAFF &amp; ALL FAMILIES TO DEPART UKRAINE IMMEDIATELY &amp; WARNS ALL U.S. NATIONALS THAT THEY ARE NO LONGER SAFE &amp; SHOULD LIKEWISE DEPART NOW. https://t.co/o2M4qNJj7j",DY
1.4854E+18,"To the best of my knowledge, no one is sending weapons to Ukraine that could be used to attack Russia. Anti-aircraft and anti-tank weapons are only a threat to Russian soldiers if Putin plans to invade. &amp; he keeps telling us he's not planning to invade. https://t.co/yDOAuSXmQW",PN
