1493736882382917635,liz truss told live on lbc that russia is pulling troops back from the border with ukraine insists that a russian invasion is highly likely and imminent,1.0,week
1493736880793436160,when russia doesnt invade ukraine tomorrow the biden regime will say they stopped it,2.0,week
1493736868806025219,who appreciates president biden for standing up to putin,1.0,week
1493736846999785488,this is mistaken america can start placing such equipment on the border of russia including in ukraine now if it and host countries so wish no nato membership required a defensive alliance is only a threat to someone planning to attack if putins peaceful no problem,1.0,week
1493736830306594816,video evidence of the situation with ukraine and russia n nbro they got it aint no need for the us to go over there,1.0,week
1493736813306867715,breaking russian attack on ukraine still very much a possibility us president joe biden says,1.0,week
1493736800682221573,hey joe biden i hate to break it to you but russia and china are not afraid of you because you are a weak president,1.0,week
1493736795632189441,president biden if russia attacks ukraine it would be a war of choice or a war without cause or reason if russia invades ukraine it will be met with overwhelming international condemnation invading ukraine will prove to be a self inflicted wound,1.0,week
1493736792352182286,a great way to get dogpiled on leftist twitter rn is to say you dont think ukraine should be invaded,1.0,week
1493736766284697605,threatening to defend yourself against russia is aggressive so we must threaten to attack you in response,1.0,week
1493736748584742913,and on top of that if russia actually invades ukraine it would likely start some sort of conflict with nato so in reality they kind of already are even though i doubt they would actually become a member,2.0,week
1493736748324638720,he said that he believes this because big countries cant bluff he was eluding to putin being place between triggering a costly hot world war with the us or a humiliating retreat the last couple of days putin has been looking for an offramp his tone has changed,2.0,week
1493736746411966473,soooooooo its currently am right now in ukraine no invasion or is this supposed to be am eastern time am ukraine time,2.0,week
1493736736329027584,indeed our analysts indicate they remain very much in a threatening position and the fact remains right now russia has troops encircling ukraine an invasion remains distinctly possible president biden said,1.0,week
1493736732705140736,im not concerned about the situation in ukraine nim concerned about the situation in canada,2.0,week
1493736730662346757,citizens of the ukrainian capital kyiv on tuesday said they were skeptical of russian president vladimir putins apparent turn toward diplomacy following weeks of military buildup and talks of a russian invasion,1.0,week
1493736729139896322,we are all looking for signs of putin pivoting towards negotiations not war because we all want to avoid war but we should be careful about cherry picking the tea leaves thread,1.0,week
1493736717660168193,so are russia going to invade ukraine tomorrow as the western media have been claiming for days or was that just the usual bullshit,1.0,week
1493736715231674368,the deep state is trying to start a war in ukraine this is an attempt to hide the plandemic all who were involved pushing the great reset,1.0,week
1493736711792168962,biden we have not yet verified indeed our analysts indicate that they remain very much in a threatening position and the fact remains right now has more than troops encircling an invasion remains distinctly possible,1.0,week
1493736702023647233,this is a manufactured crisis manufactured not by putin but by you in desperation at your abysmal favorability numbers you want to portray yourself as someone who excels in strategic diplomacy saving the world from a terrible fate putin says he is not going to invade,2.0,week
1493736676174319619,ima keep it a buck i do not care about that ukraine and russia conflict,1.0,week
